Biden_avg,Biden_probability,Hidden_trump,Hidden_win,State,Trump_avg,Trump_probability,average_biden_win,average_trump_win,biden_alt_avg,biden_alt_prob,code,consensus,cook,ec,polls,spread,trump_alt_avg,trump_alt_prob,undecideds,within_moe,within_spread,cook_n,polls_n,gap,score
38.0,0.0,62.0,1.0,alabama,58.0,1.0,0.0,1.0,38.0,0.0,AL,1.0,Solid Rep,9,Solid Rep,20.0,62.9,1.0,4.0,0.0,0.0,7,7,0,14
45.0,0.00035,55.0,1.0,alaska,48.0,0.08715,0.0,1.0,45.0,0.0,AK,0.0,Likely Rep,3,Lean Rep,3.0,55.9,1.0,7.0,1.0,1.0,6,5,0,11
48.5,0.1485,51.5,1.0,arizona,44.6,0.00025,1.0,0.0,48.5,0.04885,AZ,1.0,Lean Dem,11,Lean Dem,3.8999999999999986,52.4,0.95115,6.9,0.0,1.0,3,3,0,6
45.0,0.00045,55.0,1.0,arkansas,47.0,0.0202,0.0,1.0,45.0,0.0,AR,0.0,Solid Rep,6,Lean Rep,2.0,55.8,1.0,8.0,1.0,1.0,7,5,1,12
59.2,1.0,40.7,0.0,california,30.2,0.0,1.0,0.0,59.2,1.0,CA,1.0,Solid Dem,55,Solid Dem,29.000000000000004,41.6,0.0,10.5,0.0,0.0,1,1,0,2
55.0,0.9998,45.0,0.0,colorado,45.0,0.0004,1.0,0.0,55.0,0.9997,CO,0.0,Likely Dem,9,Solid Dem,10.0,45.8,0.0003,-0.0,0.0,0.0,2,1,0,3
50.9,0.70835,49.099999999999994,0.0,connecticut,33.9,0.0,1.0,0.0,50.9,0.65865,CT,0.0,Solid Dem,7,Likely Dem,17.0,49.9,0.34135,15.2,0.0,0.0,1,2,0,3
57.3,1.0,42.7,0.0,delaware,38.0,0.0,1.0,0.0,57.3,1.0,DE,1.0,Solid Dem,3,Solid Dem,19.299999999999997,43.6,0.0,4.7,0.0,0.0,1,1,0,2
48.8,0.19915,51.2,1.0,florida,47.1,0.0227,1.0,0.0,48.8,0.08085,FL,0.0,Toss Up,29,Lean Dem,1.6999999999999957,52.0,0.91915,4.1,1.0,1.0,4,3,0,7
45.2,0.00085,54.8,1.0,georgia,46.3,0.00705,0.0,1.0,45.2,0.0,GA,1.0,Toss Up,16,Toss Up,1.0999999999999943,55.6,1.0,8.5,1.0,1.0,4,4,0,8
39.0,0.0,61.0,1.0,indiana,52.5,0.9466,0.0,1.0,39.0,0.0,IN,1.0,Likely Rep,11,Likely Rep,13.5,61.9,1.0,8.5,0.0,0.0,6,6,0,12
46.3,0.00575,53.699999999999996,1.0,iowa,46.8,0.0163,0.0,1.0,46.3,0.0001,IA,0.0,Lean Rep,6,Toss Up,0.5,54.6,0.9999,6.9,1.0,1.0,5,4,0,9
40.6,0.0,59.400000000000006,1.0,kansas,49.6,0.37925,0.0,1.0,40.6,0.0,KS,0.0,Likely Rep,6,Lean Rep,9.0,60.2,1.0,9.8,0.0,1.0,6,5,0,11
38.4,0.0,61.5,1.0,kentucky,56.8,1.0,0.0,1.0,38.4,0.0,KY,1.0,Solid Rep,8,Solid Rep,18.4,62.4,1.0,4.7,0.0,0.0,7,7,0,14
38.0,0.0,62.0,1.0,louisiana,54.0,0.99605,0.0,1.0,38.0,0.0,LA,1.0,Solid Rep,8,Solid Rep,16.0,62.8,1.0,8.0,0.0,0.0,7,7,0,14
54.3,0.9976,45.7,0.0,maine,38.5,0.0,1.0,0.0,54.3,0.99825,ME,0.0,Likely Dem,4,Solid Dem,15.799999999999997,46.5,0.00175,7.2,0.0,0.0,2,1,0,3
65.7,1.0,34.4,0.0,massachusetts,28.8,0.0,1.0,0.0,65.7,1.0,MA,1.0,Solid Dem,11,Solid Dem,36.900000000000006,35.2,0.0,5.6,0.0,0.0,1,1,0,2
48.2,0.10805,51.8,1.0,michigan,43.3,0.0,1.0,0.0,48.2,0.02765,MI,1.0,Lean Dem,16,Lean Dem,4.900000000000006,52.6,0.97235,8.5,0.0,1.0,3,3,0,6
49.4,0.33395,50.6,1.0,minnesota,41.2,0.0,1.0,0.0,49.4,0.19755,MN,1.0,Lean Dem,10,Lean Dem,8.199999999999996,51.4,0.80245,9.4,0.0,1.0,3,3,0,6
41.0,0.0,59.0,1.0,mississippi,56.0,0.99995,0.0,1.0,41.0,0.0,MS,1.0,Solid Rep,6,Solid Rep,15.0,59.8,1.0,3.0,0.0,0.0,7,7,0,14
43.2,0.0,56.8,1.0,missouri,51.9,0.89535,0.0,1.0,43.2,0.0,MO,1.0,Likely Rep,10,Likely Rep,8.699999999999996,57.6,1.0,4.9,0.0,0.0,6,6,0,12
42.0,0.0,58.0,1.0,montana,51.5,0.8337,0.0,1.0,42.0,0.0,MT,1.0,Likely Rep,3,Likely Rep,9.5,58.8,1.0,6.5,0.0,0.0,6,6,0,12
50.0,0.4873,49.9,0.0,nevada,41.3,0.0,1.0,0.0,50.0,0.37205,NV,0.0,Likely Dem,6,Toss Up,8.700000000000003,50.8,0.62795,8.6,0.0,0.0,2,4,1,6
47.4,0.0366,52.599999999999994,1.0,new hampshire,42.4,0.0,1.0,0.0,47.4,0.00445,NH,1.0,Lean Dem,4,Lean Dem,5.0,53.4,0.99555,10.2,0.0,1.0,3,3,0,6
