State,ec,cook,polls,Biden_avg,Trump_avg,undecideds
arizona,11,Toss Up,Lean Dem,47.8,46.1,6.1
florida,29,Toss Up,Lean Dem,48.9,45.7,5.4
georgia,16,Toss Up,Lean Rep,45.1,47.3,7.7
iowa,6,Lean Rep,Toss Up,44.5,46.0,9.5
minnesota,10,Lean Dem,Lean Dem,47.9,45.5,6.6
nevada,6,Likely Dem,Lean Dem,48.0,43.7,8.3
north carolina,15,Toss Up,Lean Dem,47.0,46.9,6.1
ohio,18,Lean Rep,Lean Dem,47.8,45.0,7.3
pennsylvania,20,Lean Dem,Lean Dem,49.9,44.4,5.7
utah,6,Likely Rep,Toss Up,38.5,46.9,14.6
wisconsin,10,Lean Dem,Lean Dem,47.7,44.4,7.9
