State,undecideds,Biden_probability,Biden_avg,Trump_probability,Trump_avg,ec,cook,spread,within_moe,within_spread,polls,consensus
alabama,4.0,0.0,38.0,1.0,58.0,9,Solid Rep,20.0,0,0,Solid Rep,1
alaska,7.0,0.00035,45.0,0.0824,48.0,3,Likely Rep,3.0,1,1,Lean Rep,0
arizona,5.6,0.3209,49.3,0.0006,45.0,11,Toss Up,4.299999999999997,0,1,Lean Dem,0
arkansas,8.0,0.00045,45.0,0.0202,47.0,6,Solid Rep,2.0,1,1,Lean Rep,0
california,11.0,1.0,57.7,0.0,31.3,55,Solid Dem,26.400000000000002,0,0,Solid Dem,1
colorado,0.0,0.99965,55.0,0.00045,45.0,9,Likely Dem,10.0,0,0,Solid Dem,0
connecticut,15.2,0.70835,50.9,0.0,33.9,7,Solid Dem,17.0,0,0,Likely Dem,0
delaware,4.0,0.99995,56.0,0.0,40.0,3,Solid Dem,16.0,0,0,Solid Dem,1
florida,7.2,0.7029,50.8,0.0,42.0,29,Toss Up,8.799999999999997,0,0,Likely Dem,0
georgia,7.2,0.0001,44.1,0.18245,48.7,16,Toss Up,4.600000000000001,0,1,Lean Rep,0
indiana,9.0,0.0,39.0,0.901,52.0,11,Solid Rep,13.0,0,0,Likely Rep,0
iowa,10.2,0.0,44.2,0.00105,45.6,6,Lean Rep,1.3999999999999986,1,1,Toss Up,0
kansas,8.0,0.0,40.0,0.90095,52.0,6,Solid Rep,12.0,0,0,Likely Rep,0
kentucky,6.0,0.0,39.0,0.9992,55.0,8,Solid Rep,16.0,0,0,Solid Rep,1
maine,9.2,0.7768,51.2,0.0,39.6,4,Likely Dem,11.600000000000001,0,0,Likely Dem,1
massachusetts,4.0,1.0,64.0,0.0,32.0,11,Solid Dem,32.0,0,0,Solid Dem,1
michigan,7.3,0.80295,51.3,0.0,41.3,16,Lean Dem,10.0,0,0,Likely Dem,0
minnesota,7.6,0.3062,49.3,0.0,43.1,10,Lean Dem,6.199999999999996,0,1,Lean Dem,1
mississippi,3.0,0.0,41.0,0.99995,56.0,6,Solid Rep,15.0,0,0,Solid Rep,1
missouri,6.7,0.0,43.2,0.53075,50.2,10,Solid Rep,7.0,0,0,Likely Rep,0
montana,5.8,0.0,42.0,0.92355,52.2,3,Likely Rep,10.200000000000003,0,0,Likely Rep,1
nevada,8.3,0.0866,48.0,0.0,43.6,6,Likely Dem,4.399999999999999,0,1,Lean Dem,0
new hampshire,7.0,0.57165,50.3,0.0,42.7,4,Lean Dem,7.599999999999994,0,0,Likely Dem,0
new jersey,10.5,0.99955,55.0,0.0,34.5,14,Solid Dem,20.5,0,0,Solid Dem,1
new mexico,2.6,0.99205,53.7,0.0,43.7,5,Solid Dem,10.0,0,0,Solid Dem,1
new york,12.3,0.9999,55.7,0.0,32.0,29,Solid Dem,23.700000000000003,0,0,Solid Dem,1
north carolina,4.4,0.5701,50.3,0.0008,45.3,15,Toss Up,5.0,0,0,Likely Dem,0
ohio,7.2,0.13695,48.4,5e-05,44.4,18,Lean Rep,4.0,0,1,Lean Dem,0
pennsylvania,6.2,0.30675,49.3,0.00025,44.5,20,Lean Dem,4.799999999999997,0,1,Lean Dem,1
south carolina,4.5,5e-05,44.2,0.7895,51.2,9,Likely Rep,7.0,0,0,Likely Rep,1
tennessee,8.3,0.0,39.0,0.96075,52.7,11,Solid Rep,13.700000000000003,0,0,Likely Rep,0
texas,9.2,0.00705,46.4,0.00015,44.4,38,Lean Rep,2.0,1,1,Toss Up,0
utah,14.3,0.0,39.0,0.0124,46.7,6,Likely Rep,7.700000000000003,0,1,Toss Up,0
virginia,10.3,0.66155,50.7,0.0,39.0,13,Likely Dem,11.700000000000003,0,0,Likely Dem,1
washington,10.2,1.0,59.5,0.0,30.3,12,Solid Dem,29.2,0,0,Solid Dem,1
wisconsin,8.9,0.0044,46.2,0.00015,44.9,10,Lean Dem,1.3000000000000043,1,1,Toss Up,0
